"species","x","y","longitude","latitude"
"Phoebe bournei",1354603.36,2983714.398,118.8418361,27.47455788
"Phoebe bournei",1252582.738,2831344.227,117.6144151,26.24021937
"Phoebe bournei",1190932.439,2990727.466,117.1960392,27.7286594
"Phoebe bournei",1177222.141,2929578.773,116.981805,27.199473
"Phoebe bournei",1186659.423,2647258.367,116.7388143,24.66583253
"Phoebe bournei",1138037.541,2641057.638,116.2551066,24.66094146
"Phoebe bournei",1058203.487,3169489.98,116.0514259,29.45453917
"Phoebe bournei",1052156.917,3181180.043,116.002269,29.564174
"Phoebe bournei",1095103.029,2732143.964,115.9327498,25.5210634
"Phoebe bournei",1090233.348,2688282.074,115.8369152,25.13268341
"Phoebe bournei",1091130.938,2666920.917,115.822712,24.940135
"Phoebe bournei",1055408.769,2860519.147,115.676838,26.708084
"Phoebe bournei",1046079.249,2870497.814,115.5939059,26.80615092
"Phoebe bournei",1032056.532,2722780.468,115.298321,25.497794
"Phoebe bournei",951339.8508,3039564.952,114.8095171,28.40037331
"Phoebe bournei",959217.9001,2610051.43,114.4691631,24.55059915
"Phoebe bournei",908224.8832,3049621.324,114.3774111,28.52708346
"Phoebe bournei",936939.2507,2627688.729,114.2667259,24.72825785
"Phoebe bournei",905067.5026,2837416.52,114.143789,26.636167
"Phoebe bournei",912614.0535,2699568.271,114.092418,25.394517
"Phoebe bournei",894341.5812,2837132.678,114.035767,26.642438
"Phoebe bournei",896941.4483,2701623.634,113.9389595,25.42578615
"Phoebe bournei",872283.031,2949094.732,113.9154117,27.6607206
"Phoebe bournei",901037.4619,2621822.17,113.9083912,24.70512423
"Phoebe bournei",867052.001,2974641.583,113.8855385,27.89283269
"Phoebe bournei",881266.8554,2572197.408,113.671189,24.273988
"Phoebe bournei",855390.8433,2684896.166,113.5126842,25.30842063
"Phoebe bournei",864366.4397,2570167.456,113.5040116,24.26889993
"Phoebe bournei",842252.8066,2688954.02,113.3859655,25.35495382
"Phoebe bournei",832585.44,2671533.338,113.2757353,25.20568772
"Phoebe bournei",829662.4228,2686909.891,113.259501,25.34609189
"Phoebe bournei",716025.3529,2614497.678,112.0810517,24.77362358
"Phoebe bournei",620385.0267,2764388.398,111.230769,26.17953
"Phoebe bournei",534430.4839,3405026.786,110.7411196,31.9384811
"Phoebe bournei",558774.384,2736430.197,110.5975609,25.96139791
"Phoebe bournei",547898.843,2701166.774,110.4693966,25.64978292
"Phoebe bournei",541519.7121,2734366.513,110.423932,25.951467
"Phoebe bournei",499385.3455,3443903.709,110.3880519,32.3006228
"Phoebe bournei",537462.7994,2726334.908,110.379023,25.881255
"Phoebe bournei",535250.7385,2699376.809,110.3424229,25.63988165
"Phoebe bournei",533768.0498,2705582.435,110.3309751,25.69642572
"Phoebe bournei",534558.5793,2665971.781,110.317686,25.339541
"Phoebe bournei",510024.0135,2719070.811,110.101175,25.828973
"Phoebe bournei",518521.4572,2506159.253,110.0772091,23.90469124
"Phoebe bournei",498221.0881,2637282.073,109.9426314,25.09800009
"Phoebe bournei",487012.8111,2708825.58,109.8663796,25.74722004
"Phoebe bournei",431724.9892,2754982.615,109.334795,26.185301
"Phoebe bournei",410349.1726,3110161.882,109.2738587,29.37240473
"Phoebe bournei",408903.9801,3125527.146,109.265697,29.50994
"Phoebe bournei",422606.7599,2782186.225,109.2550545,26.43324583
"Phoebe bournei",402889.7049,3184716.604,109.2293199,30.03954757
"Phoebe bournei",419441.2466,2666650.781,109.1743385,25.39526094
"Phoebe bournei",396740.7279,3143091.636,109.1466077,29.67107765
"Phoebe bournei",411851.4249,2697809.635,109.1117258,25.67869304
"Phoebe bournei",389386.622,3183772.742,109.087327,30.036182
"Phoebe bournei",386193.1985,2964035.569,108.9618488,28.07648783
"Phoebe bournei",374431.9442,3212486.567,108.9424806,30.29720344
"Phoebe bournei",391457.5609,2706005.649,108.9115614,25.75988133
"Phoebe bournei",391777.1723,2689393.162,108.9082206,25.61022778
"Phoebe bournei",368643.5035,2936354.685,108.7712076,27.83495178
"Phoebe bournei",377915.9815,2628367.116,108.7471154,25.06512011
"Phoebe bournei",361389.1921,2945546.652,108.700569,27.919654
"Phoebe bournei",349935.7459,2960344.787,108.5888664,28.05581356
"Phoebe bournei",338378.77,2691848.399,108.3768141,25.64998313
"Phoebe bournei",319073.913,3025293.974,108.294693,28.646007
"Phoebe bournei",329822.8366,2701229.647,108.2946001,25.73703494
"Phoebe bournei",318781.8036,2989162.056,108.2793598,28.32317098
"Phoebe bournei",314625.0986,2770177.749,108.164842,26.361629
"Phoebe bournei",310393.3171,2663362.897,108.0888837,25.40159335
"Phoebe bournei",228900.3771,3057236.525,107.3718802,28.95431642
"Phoebe bournei",221730.8863,3064614.164,107.2993867,29.02170146
"Phoebe bournei",181501.959,2831521.014,106.8375795,26.94269792
"Phoebe bournei",158064.3949,2820216.538,106.5984922,26.84486245
"Phoebe bournei",127936.7319,2987375.138,106.3162637,28.3467002
"Phoebe bournei",114822.4962,2969638.421,106.1791854,28.18950074
"Phoebe bournei",100181.3453,2998441.062,106.031912,28.44860304
"Phoebe bournei",97721.846,2982155.51,106.004882,28.30317035
