"species","x","y","longitude","latitude"
"Phoebe cavaleriei",-308789.5718,2833461.447,101.8737808,26.93154936
"Phoebe cavaleriei",19773.09009,2929085.271,105.2022234,27.83237962
"Phoebe cavaleriei",-12632.44302,2933812.125,104.8707424,27.87481903
"Phoebe cavaleriei",356431.42,2945112.826,108.649685,27.917415
"Phoebe cavaleriei",168097.3449,2940537.876,106.7210262,27.92207311
"Phoebe cavaleriei",-26948.88025,2940588,104.7240617,27.93523291
"Phoebe cavaleriei",-83489.77137,2941883.815,104.1450259,27.94395193
"Phoebe cavaleriei",-34300.84013,2957241.375,104.6481789,28.08411101
"Phoebe cavaleriei",-152258.2477,2959172.268,103.4381095,28.09121762
"Phoebe cavaleriei",-99507.98991,2964852.605,103.9785827,28.1481944
"Phoebe cavaleriei",-138057.355,2979167.478,103.580832,28.27203502
"Phoebe cavaleriei",56422.6172,2979386.693,105.5800454,28.28134966
"Phoebe cavaleriei",-151358.9735,2984277.115,103.4432952,28.31595847
"Phoebe cavaleriei",-119412.6958,2987831.345,103.7713676,28.35175788
"Phoebe cavaleriei",-142634.0584,2990527.381,103.5320658,28.37305038
"Phoebe cavaleriei",-100276.4872,2994146.177,103.9675681,28.41018554
"Phoebe cavaleriei",-73840.73809,2994496.518,104.2397065,28.4154534
"Phoebe cavaleriei",-116233.8454,2995807.645,103.8030821,28.42344184
"Phoebe cavaleriei",-103835.7444,3000824.535,103.9301844,28.46957073
"Phoebe cavaleriei",-134008.456,3006652.867,103.6185162,28.51835312
"Phoebe cavaleriei",-77033.93081,3024302.696,104.2043701,28.68171515
"Phoebe cavaleriei",-98856.2076,3024716.157,103.9789532,28.68362604
"Phoebe cavaleriei",-93127.89703,3036452.464,104.036939,28.78902004
"Phoebe cavaleriei",-139888.7458,3042920.263,103.5524542,28.84173601
"Phoebe cavaleriei",-90757.21993,3042519.115,104.0608599,28.84342848
"Phoebe cavaleriei",202731.3839,3063745.547,107.1022296,29.01770677
"Phoebe cavaleriei",205750.8619,3068027.175,107.134485,29.055362
"Phoebe cavaleriei",-94098.04871,3066705.671,104.023831,29.059182
"Phoebe cavaleriei",383396.7966,3102158.726,108.9901098,29.31104626
"Phoebe cavaleriei",-166787.1739,3098285.067,103.2641497,29.33223233
"Phoebe cavaleriei",-144358.9959,3112300.913,103.4953236,29.46056039
"Phoebe cavaleriei",-149825.7357,3113885.05,103.4380924,29.47394022
"Phoebe cavaleriei",-179575.0525,3121517.268,103.1265271,29.53743285
"Phoebe cavaleriei",-156554.166,3122627.555,103.3664626,29.55096368
"Phoebe cavaleriei",-148513.1602,3125125.993,103.4499441,29.57439932
"Phoebe cavaleriei",-144472.0858,3128716.044,103.4915456,29.60697553
"Phoebe cavaleriei",-196459.6832,3134152.447,102.9476963,29.64714397
"Phoebe cavaleriei",-146658.7598,3137017.294,103.4673799,29.68071067
"Phoebe cavaleriei",-55174.07695,3155458.14,104.4222565,29.85381411
"Phoebe cavaleriei",-154636.8091,3162930.971,103.3796022,29.91061584
"Phoebe cavaleriei",-170960.605,3224316.778,103.196904,30.454966
"Phoebe cavaleriei",382785.4872,3360093.599,109.0943999,31.6064339
