"species","x","y","longitude","latitude"
"Phoebe hunanensis",-37734.14553,3502432.236,104.5898633,32.93962279
"Phoebe hunanensis",1735.290086,3476511.97,105.0188078,32.7103486
"Phoebe hunanensis",3629.173161,3482052.101,105.0393583,32.75950132
"Phoebe hunanensis",13992.9211,3476486.76,105.1516606,32.71003153
"Phoebe hunanensis",20577.64846,3475378.617,105.2230012,32.70008835
"Phoebe hunanensis",56341.60555,3547153.204,105.6153919,33.3353764
"Phoebe hunanensis",58735.68418,3515082.76,105.639285,33.050848
"Phoebe hunanensis",70977.47444,3510535.123,105.772136,33.009741
"Phoebe hunanensis",72285.5257,3540793.21,105.788981,33.27798515
"Phoebe hunanensis",189505.3491,2652365.599,106.8841699,25.32975639
"Phoebe hunanensis",188013.0409,3493347.904,107.0412286,32.84257811
"Phoebe hunanensis",258684.9944,3579149.921,107.8347373,33.58784093
"Phoebe hunanensis",326255.4233,2779862.705,108.284971,26.445256
"Phoebe hunanensis",310293.3075,3581364.223,108.4007,33.59309568
"Phoebe hunanensis",361389.1921,2945546.652,108.700569,27.919654
"Phoebe hunanensis",367014.9139,3171848.269,108.8478886,29.93794778
"Phoebe hunanensis",375457.5498,3141713.789,108.923832,29.666512
"Phoebe hunanensis",382785.4872,3360093.599,109.0943999,31.6064339
"Phoebe hunanensis",389131.213,3231032.933,109.1051499,30.4569468
"Phoebe hunanensis",394620.727,3401797.589,109.2398814,31.9722335
"Phoebe hunanensis",418872.2285,3416828.916,109.5074244,32.09612151
"Phoebe hunanensis",451525.0872,3037321.038,109.6664736,28.70596887
"Phoebe hunanensis",451842.4039,3135799.56,109.7180791,29.58416348
"Phoebe hunanensis",462279.6655,3133336.071,109.8256446,29.5577391
"Phoebe hunanensis",479027.0588,3105995.518,109.985857,29.30668491
"Phoebe hunanensis",500041.4746,2862320.157,110.074676,27.119468
"Phoebe hunanensis",492851.272,3034547.721,110.0913903,28.66306565
"Phoebe hunanensis",502963.4411,3051023.169,110.204579,28.805426
"Phoebe hunanensis",522285.6769,3061370.511,110.4099631,28.88852083
"Phoebe hunanensis",523875.3087,3087728.715,110.441345,29.12281556
"Phoebe hunanensis",522658.622,3109905.682,110.441345,29.321096
"Phoebe hunanensis",522986.2933,3119590.216,110.450279,29.407237
"Phoebe hunanensis",527648.9814,3050394.596,110.4591608,28.78797645
"Phoebe hunanensis",541220.5376,2991712.309,110.5652848,28.25734661
"Phoebe hunanensis",530720.5421,3188466.418,110.57095,30.016718
"Phoebe hunanensis",547465.491,3166355.388,110.732948,29.811434
"Phoebe hunanensis",552062.7089,3146044.976,110.768637,29.628235
"Phoebe hunanensis",569153.1306,3194299.115,110.977116,30.048704
"Phoebe hunanensis",601364.377,2788198.92,111.054783,26.403823
"Phoebe hunanensis",582042.7926,3253499,111.1506068,30.56804755
"Phoebe hunanensis",599173.5859,3128274.524,111.2479894,29.44456658
"Phoebe hunanensis",614432.7213,3040186.939,111.3480234,28.65081276
"Phoebe hunanensis",619321.1269,3036426.023,111.3958892,28.61445992
"Phoebe hunanensis",625336.8372,3070415.448,111.480721,28.914083
"Phoebe hunanensis",688927.0863,2823482.477,111.9585666,26.66869493
"Phoebe hunanensis",689569.7976,2830172.343,111.969773,26.728236
"Phoebe hunanensis",746377.4277,2897910.555,112.594083,27.29720397
"Phoebe hunanensis",752397.0675,2891581.511,112.6501368,27.23646402
"Phoebe hunanensis",755179.7371,2879371.488,112.6687473,27.12532765
"Phoebe hunanensis",758339.2963,2899379.562,112.7164638,27.30207567
"Phoebe hunanensis",761301.4648,2894209.133,112.7423888,27.25377682
"Phoebe hunanensis",774526.222,2893263.011,112.8755633,27.23599603
"Phoebe hunanensis",773784.5996,2996979.032,112.9523494,28.16279759
"Phoebe hunanensis",831126.4478,2785558.215,113.3564756,26.23030667
"Phoebe hunanensis",840939.5897,2728214.987,113.4059713,25.70853874
"Phoebe hunanensis",824743.8073,3390715.611,113.8325934,31.62247604
"Phoebe hunanensis",864205.9022,2967539.498,113.8500556,27.83175645
"Phoebe hunanensis",862401.8196,3105422.137,113.958754,29.061348
"Phoebe hunanensis",882772.0381,2890997.277,113.9685407,27.13346271
"Phoebe hunanensis",892864.7116,2823447.761,114.0084167,26.52118194
"Phoebe hunanensis",894341.5812,2837132.678,114.035767,26.642438
"Phoebe hunanensis",865734.1118,3161972.628,114.0465629,29.56133378
"Phoebe hunanensis",904296.6172,2757757.997,114.0627859,25.92342203
"Phoebe hunanensis",881478.8914,3036027.237,114.09001,28.428258
"Phoebe hunanensis",902302.1981,2823578.601,114.1032254,26.51462716
"Phoebe hunanensis",905067.5026,2837416.52,114.143789,26.636167
"Phoebe hunanensis",912787.0548,2769649.217,114.1583595,26.0230024
"Phoebe hunanensis",908187.7152,2832484.648,114.170544,26.58946099
"Phoebe hunanensis",900963.7588,2928526.91,114.187505,27.453745
"Phoebe hunanensis",911778.5431,2836768.251,114.210597,26.624802
"Phoebe hunanensis",909033.7964,2873470.676,114.2173523,26.95527533
"Phoebe hunanensis",904946.3332,2931687.559,114.230872,27.47865
"Phoebe hunanensis",918822.7126,2851839.435,114.2955559,26.75370974
"Phoebe hunanensis",931799.7703,2734021.444,114.3145724,25.68768719
