"species","x","y","longitude","latitude"
"Phoebe lanceolata",-668459.0188,1733427.008,98.920833,16.742778
"Phoebe lanceolata",-582952.2097,1742995.611,99.692222,16.8775
"Phoebe lanceolata",-555708.4532,1898541.721,99.866667,18.333333
"Phoebe lanceolata",-615776.3664,1918849.788,99.302194,18.490667
"Phoebe lanceolata",-696606.6002,1929007.523,98.55015,18.538733
"Phoebe lanceolata",-625170.436,1947492.892,99.2,18.75
"Phoebe lanceolata",-658750.2451,1956190.231,98.884267,18.8116
"Phoebe lanceolata",-564132.2832,1978444.997,99.75,19.0667
"Phoebe lanceolata",-676476.4658,1990412.154,98.7,19.116667
"Phoebe lanceolata",-614062.0299,1990249.381,99.28,19.15
"Phoebe lanceolata",-484738.0303,1989004.66,100.4833,19.2
"Phoebe lanceolata",-672332.1234,1999202.449,98.733333,19.2
"Phoebe lanceolata",-718857.1298,2035113.365,98.278333,19.502222
"Phoebe lanceolata",-588497.1344,2088530.095,99.466667,20.066667
"Phoebe lanceolata",-548215.3403,2111799.604,99.833333,20.3
"Phoebe lanceolata",-386887.7704,2212966.399,101.316743,21.29185307
"Phoebe lanceolata",-359481.2311,2230968.568,101.5715283,21.46528088
"Phoebe lanceolata",-355987.6931,2236697.231,101.6029523,21.51869145
"Phoebe lanceolata",-448092.3455,2254495.744,100.7176894,21.64861579
"Phoebe lanceolata",-453798.8571,2254797.651,100.6630966,21.64910882
"Phoebe lanceolata",-356306.18,2254263.043,101.5941674,21.67893648
"Phoebe lanceolata",-449050.1668,2263515.737,100.7048201,21.73051796
"Phoebe lanceolata",-418489.8376,2275511.587,100.9921726,21.8515683
"Phoebe lanceolata",-400344.0502,2279169.809,101.1644231,21.89145913
"Phoebe lanceolata",-385821.5605,2280754.294,101.3028627,21.91092943
"Phoebe lanceolata",-457767.5047,2287059.458,100.6115981,21.94168174
"Phoebe lanceolata",-493850.6714,2290285.262,100.264717,21.95595708
"Phoebe lanceolata",-367337.4847,2288175.215,101.4773121,21.984705
"Phoebe lanceolata",-437106.2703,2294432.163,100.8064431,22.01700442
"Phoebe lanceolata",-429176.3797,2295887.702,100.8818548,22.03329201
"Phoebe lanceolata",-442530.6933,2296515.178,100.7536105,22.03388041
"Phoebe lanceolata",-479349.5877,2298573.293,100.3998792,22.03767581
"Phoebe lanceolata",-408404.2694,2298436.027,101.0799955,22.06417463
"Phoebe lanceolata",-435114.6865,2300246.935,100.823182,22.07074407
"Phoebe lanceolata",-429428.0117,2301238.524,100.8773122,22.08194329
"Phoebe lanceolata",-433710.9063,2313155.368,100.8314418,22.18884489
"Phoebe lanceolata",-362905.0981,2312918.639,101.5114483,22.21156642
"Phoebe lanceolata",-481428.7712,2318018.152,100.3712612,22.21385644
"Phoebe lanceolata",-425523.7013,2321482.898,100.9067441,22.26776481
"Phoebe lanceolata",-407947.726,2343393.533,101.0672886,22.47362159
"Phoebe lanceolata",-412902.3594,2358583.866,101.0136991,22.60997414
"Phoebe lanceolata",-416375.7887,2362671.804,100.9786042,22.64586607
"Phoebe lanceolata",-109721.5398,2354994.011,103.9405513,22.64741862
"Phoebe lanceolata",-417938.8252,2375630.642,100.9584327,22.76307281
"Phoebe lanceolata",-357740.8117,2385443.73,101.5367415,22.87292278
"Phoebe lanceolata",-182904.912,2382043.982,103.2293695,22.88391787
"Phoebe lanceolata",-173763.9244,2390781.945,103.3164081,22.96477492
"Phoebe lanceolata",-466000.0281,2405203.39,100.4812692,23.01282986
"Phoebe lanceolata",-135204.4669,2420375.107,103.6861653,23.23885233
"Phoebe lanceolata",-103480.0856,2423089.291,103.994152,23.26685783
"Phoebe lanceolata",-21401.80793,2435698.562,104.791706,23.385864
"Phoebe lanceolata",-744340.8031,2596446.362,97.6531158,24.59236173
"Phoebe lanceolata",-639799.134,2597536.085,98.68128198,24.66716261
"Phoebe lanceolata",-748467.9809,2609551.772,97.6029092,24.70770478
"Phoebe lanceolata",-736601.745,2615284.698,97.71560969,24.76727831
