"species","x","y","longitude","latitude"
"Phoebe neurantha",1238957.709,3171157.94,117.9216833,29.27501708
"Phoebe neurantha",1172057.047,2914237.471,116.911096,27.06838486
"Phoebe neurantha",1138109.522,2961488.952,116.6252513,27.52518934
"Phoebe neurantha",1054802.158,3176106.155,116.0238362,29.51657379
"Phoebe neurantha",1052156.917,3181180.043,116.002269,29.564174
"Phoebe neurantha",1051014.365,3187597.626,115.9978225,29.62219718
"Phoebe neurantha",1050117.469,3193735.859,115.9955986,29.67749488
"Phoebe neurantha",1046174.43,3177387.685,115.9358668,29.53643271
"Phoebe neurantha",1041782.617,3174795.611,115.8873669,29.51774448
"Phoebe neurantha",1036596.735,3172626.817,115.831138,29.503561
"Phoebe neurantha",1009228.7,3350067.009,115.747327,31.101317
"Phoebe neurantha",1021863.887,3124997.401,115.6253273,29.09508653
"Phoebe neurantha",1003800.582,3132818.733,115.4474265,29.18161538
"Phoebe neurantha",997939.2679,3176942.868,115.4349621,29.57871151
"Phoebe neurantha",993997.2884,3182020.198,115.399585,29.62743601
"Phoebe neurantha",1029370.641,2816995.006,115.3695517,26.34388259
"Phoebe neurantha",989424.3629,3125403.01,115.290907,29.1291455
"Phoebe neurantha",962307.5479,3150289.494,115.0368862,29.37487825
"Phoebe neurantha",953134.9342,3150755.455,114.9423421,29.38723844
"Phoebe neurantha",950539.5751,3093998.728,114.8568628,28.88527714
"Phoebe neurantha",946712.4772,3087444.628,114.810741,28.83038743
"Phoebe neurantha",944978.8891,3057559.386,114.7625367,28.5661005
"Phoebe neurantha",939527.1955,3083957.926,114.7332274,28.80569243
"Phoebe neurantha",930400.6182,3151569.04,114.7075498,29.41450792
"Phoebe neurantha",971280.4083,2730096.999,114.702953,25.61847602
"Phoebe neurantha",971542.1031,2657169.878,114.635071,24.96361106
"Phoebe neurantha",970345.8601,2647360.828,114.613891,24.876501
"Phoebe neurantha",943555.838,2858385.964,114.550608,26.791188
"Phoebe neurantha",948940.9967,2786043.375,114.5346745,26.13928729
"Phoebe neurantha",922600.2481,3044037.856,114.5194243,28.46516725
"Phoebe neurantha",922583.0886,2920986.061,114.3994071,27.36831322
"Phoebe neurantha",908224.8832,3049621.324,114.3774111,28.52708346
"Phoebe neurantha",898348.9041,3091853.971,114.3168411,28.91115923
"Phoebe neurantha",922880.8064,2803896.827,114.2911131,26.32133877
"Phoebe neurantha",904946.3332,2931687.559,114.230872,27.47865
"Phoebe neurantha",909033.7964,2873470.676,114.2173523,26.95527533
"Phoebe neurantha",912787.0548,2769649.217,114.1583595,26.0230024
"Phoebe neurantha",908221.1734,2804234.932,114.1446797,26.3365873
"Phoebe neurantha",905139.295,2830111.799,114.137737,26.570752
"Phoebe neurantha",906479.4038,2798626.582,114.122067,26.28780695
"Phoebe neurantha",902302.1981,2823578.601,114.1032254,26.51462716
"Phoebe neurantha",871652.0537,3095371.932,114.044833,28.96447273
"Phoebe neurantha",895091.1276,2832928.438,114.0394413,26.60420874
"Phoebe neurantha",933925.7046,2397855.562,114.0308985,22.65598192
"Phoebe neurantha",850659.8428,3179668.516,113.9064369,29.730666
"Phoebe neurantha",864205.9022,2967539.498,113.8500556,27.83175645
"Phoebe neurantha",830957.3792,3128057.997,113.6542295,29.28752436
"Phoebe neurantha",697899.2388,2708534.92,111.9675451,25.63144312
"Phoebe neurantha",583611.9732,3443744.363,111.2944367,32.25523762
"Phoebe neurantha",594536.6031,3268847.02,111.2925492,30.69744648
"Phoebe neurantha",599173.5859,3128274.524,111.2479894,29.44456658
"Phoebe neurantha",561369.3971,3466269.318,111.069986,32.467103
"Phoebe neurantha",565748.437,3328521.28,111.026913,31.243225
"Phoebe neurantha",596123.8264,2764943.686,110.9880427,26.19793711
"Phoebe neurantha",563260.9256,3193577.587,110.9149336,30.04542828
"Phoebe neurantha",553540.2857,3324988.947,110.8949369,31.21838328
"Phoebe neurantha",589729.2502,2613323.578,110.8345596,24.83719437
"Phoebe neurantha",551453.7838,3198366.484,110.7941599,30.09423312
"Phoebe neurantha",534430.4839,3405026.786,110.7411196,31.9384811
"Phoebe neurantha",534655.2025,3333744.954,110.6996162,31.3059139
"Phoebe neurantha",531625.119,3367824.651,110.6881773,31.60991537
"Phoebe neurantha",563614.8593,2798619.861,110.6815593,26.51737422
"Phoebe neurantha",547621.1402,3022776.411,110.6491165,28.53151273
"Phoebe neurantha",529465.808,3339308.37,110.6477854,31.35793543
"Phoebe neurantha",524396.11,3373842.312,110.614633,31.666963
"Phoebe neurantha",555612.8939,2821001.385,110.6138116,26.72222795
"Phoebe neurantha",519928.2608,3344013.436,110.5490647,31.40447949
"Phoebe neurantha",522658.622,3109905.682,110.441345,29.321096
"Phoebe neurantha",506647.5217,3349427.991,110.410753,31.459055
"Phoebe neurantha",522285.6769,3061370.511,110.4099631,28.88852083
"Phoebe neurantha",506337.5778,3299377.814,110.3785208,31.01477152
"Phoebe neurantha",505813.3543,3286602.975,110.3656364,30.90153096
"Phoebe neurantha",496180.9051,3194986.509,110.2126677,30.09144903
"Phoebe neurantha",502963.4411,3051023.169,110.204579,28.805426
"Phoebe neurantha",516317.6426,2667867.752,110.1375332,25.3652716
"Phoebe neurantha",501804.0685,2715887.76,110.017494,25.80411678
"Phoebe neurantha",467906.8552,3341327.425,109.9934006,31.40517751
"Phoebe neurantha",463422.7788,3345430.04,109.9478072,31.44359945
"Phoebe neurantha",453501.1062,3347991.196,109.8433796,31.47068693
"Phoebe neurantha",459421.2536,3199243.77,109.829293,30.14589581
"Phoebe neurantha",456136.5002,3257116.691,109.824357,30.66213
"Phoebe neurantha",453271.4129,3185964.727,109.758063,30.030343
"Phoebe neurantha",434964.9248,3361867.979,109.6526494,31.60176604
"Phoebe neurantha",437651.0715,3282102.872,109.6414805,30.89209367
"Phoebe neurantha",430392.8574,3329506.884,109.5878294,31.31629094
"Phoebe neurantha",434969.8822,3022216.014,109.4885618,28.57790993
"Phoebe neurantha",421452.7017,3255361.175,109.4572016,30.66094669
"Phoebe neurantha",418975.8437,3260268.668,109.4333578,30.70557366
"Phoebe neurantha",408903.9801,3125527.146,109.265697,29.50994
"Phoebe neurantha",425079.3989,2708441.287,109.248168,25.769359
"Phoebe neurantha",402889.7049,3184716.604,109.2293199,30.03954757
"Phoebe neurantha",411298.4187,2974986.674,109.2238722,28.16515608
"Phoebe neurantha",411109.685,2927903.898,109.2014863,27.74404809
"Phoebe neurantha",419441.2466,2666650.781,109.1743385,25.39526094
"Phoebe neurantha",383127.7335,3377531.836,109.1057659,31.76113951
"Phoebe neurantha",389131.213,3231032.933,109.1051499,30.4569468
"Phoebe neurantha",382785.4872,3360093.599,109.0943999,31.6064339
"Phoebe neurantha",389386.622,3183772.742,109.087327,30.036182
"Phoebe neurantha",389589.0684,3157502.634,109.078129,29.802122
"Phoebe neurantha",383113.6234,3112634.897,108.991547,29.40456999
"Phoebe neurantha",371024.8523,3332768.463,108.9570966,31.36797299
"Phoebe neurantha",386570.7196,2920157.9,108.947828,27.683731
"Phoebe neurantha",374431.9442,3212486.567,108.9424806,30.29720344
"Phoebe neurantha",367320.5014,3369160.893,108.9329979,31.69250281
"Phoebe neurantha",386037.3698,2748827.667,108.8741451,26.14696483
"Phoebe neurantha",376449.7188,2959644.81,108.8602447,28.04065028
"Phoebe neurantha",382239.1961,2763391.818,108.841719,26.27919642
"Phoebe neurantha",372515.4745,2941902.509,108.8129576,27.88327585
"Phoebe neurantha",371450.8,2961339.193,108.8097011,28.05753429
"Phoebe neurantha",355186.6945,3365975.651,108.8019018,31.66841806
"Phoebe neurantha",371679.9046,2929874.95,108.7997039,27.77591916
"Phoebe neurantha",370591.343,2951308.287,108.7969622,27.96809533
"Phoebe neurantha",361526.4368,3169257.949,108.7893661,29.91675532
"Phoebe neurantha",380674.3817,2641334.978,108.7793315,25.18111344
"Phoebe neurantha",351554.1925,3372562.966,108.7657303,31.72814172
"Phoebe neurantha",363672.1467,2943613.629,108.7231823,27.90159266
"Phoebe neurantha",371471.9797,2650897.437,108.6915837,25.27043872
"Phoebe neurantha",357109.2678,2959559.962,108.6620737,28.04644854
"Phoebe neurantha",348480.3748,3171211.45,108.6535017,29.93851543
"Phoebe neurantha",355698.0497,2946033.739,108.6425282,27.92589667
"Phoebe neurantha",344010.0993,3188489.952,108.6132664,30.09386885
"Phoebe neurantha",341486.548,3193321.275,108.5886172,30.13770786
"Phoebe neurantha",343829.7628,2969028.968,108.5294628,28.13545005
"Phoebe neurantha",315731.9875,3398582.706,108.3918478,31.97062436
"Phoebe neurantha",325574.7845,2735104.359,108.2633152,26.04311439
"Phoebe neurantha",316949.4885,2899326.416,108.2304639,27.51972206
"Phoebe neurantha",314625.0986,2770177.749,108.164842,26.361629
"Phoebe neurantha",304104.5598,2982789.199,108.1264111,28.27042328
"Phoebe neurantha",304257.4059,2882203.604,108.0957472,27.36991809
"Phoebe neurantha",305667.1099,2629567.223,108.0316138,25.09820116
"Phoebe neurantha",228900.3771,3057236.525,107.3718802,28.95431642
"Phoebe neurantha",222695.3728,3068007.18,107.3102036,29.05179641
"Phoebe neurantha",217201.6425,3062195.713,107.2518652,29.00103385
"Phoebe neurantha",212990.4679,3092952.694,107.2153341,29.27643994
"Phoebe neurantha",213313.6676,3077139.604,107.2150257,29.13523598
"Phoebe neurantha",213124.152,3058688.682,107.2087966,28.970535
"Phoebe neurantha",210954.9401,3064964.682,107.1877555,29.02700596
"Phoebe neurantha",226281.1272,2335870.544,107.1805999,22.45607534
"Phoebe neurantha",205750.8619,3068027.175,107.134485,29.055362
"Phoebe neurantha",195604.8029,3065607.43,107.0287457,29.03565613
"Phoebe neurantha",203463.0711,2637461.893,107.0198941,25.19287427
"Phoebe neurantha",189834.015,3100687.517,106.9761502,29.34982559
"Phoebe neurantha",203596.0386,2347625.705,106.964292,22.56736797
"Phoebe neurantha",187848.9064,3120902.688,106.959644,29.53052604
"Phoebe neurantha",188415.8203,2824430.747,106.9061825,26.87788532
"Phoebe neurantha",188583.7888,2530703.93,106.852442,24.231066
"Phoebe neurantha",176636.5382,2617378.632,106.750117,25.01626338
"Phoebe neurantha",168097.3449,2940537.876,106.7210262,27.92207311
"Phoebe neurantha",166579.9981,2536455.645,106.6372741,24.28660177
"Phoebe neurantha",165632.689,2530962.223,106.6270801,24.23704234
"Phoebe neurantha",160387.4655,2794794.974,106.6177922,26.61621837
"Phoebe neurantha",160250.6817,2543696.862,106.5762053,24.35302945
"Phoebe neurantha",156070.7931,2589740.122,106.5421331,24.76979198
"Phoebe neurantha",143807.4883,2578658.236,106.4194114,24.67132858
"Phoebe neurantha",132605.6797,3154617.75,106.388354,29.839486
"Phoebe neurantha",138810.6464,2557736.11,106.3672541,24.48285953
"Phoebe neurantha",128831.1426,2633694.811,106.2786044,25.17007629
"Phoebe neurantha",126707.4853,2671268.094,106.262271,25.509128
"Phoebe neurantha",123783.3333,2631517.996,106.2282446,25.15101175
"Phoebe neurantha",105657.7143,3201032.436,106.111682,30.2561341
"Phoebe neurantha",111467.598,2635068.925,106.1064446,25.18435492
"Phoebe neurantha",95626.24689,2999254.851,105.9850788,28.45629407
"Phoebe neurantha",67889.05665,3513255.565,105.7387598,33.03407851
"Phoebe neurantha",75543.06865,2448725.362,105.7361538,23.50172071
"Phoebe neurantha",61517.09351,3443379.234,105.6643351,32.41446892
"Phoebe neurantha",61942.92325,2410256.735,105.6013558,23.15338904
"Phoebe neurantha",45535.52958,2653788.948,105.4528559,25.35787208
"Phoebe neurantha",19047.17365,3365894.281,105.2039777,31.7279622
"Phoebe neurantha",13992.9211,3476486.76,105.1516606,32.71003153
