"species","x","y","longitude","latitude"
"Phoebe neuranthoides",625336.8372,3070415.448,111.480721,28.914083
"Phoebe neuranthoides",556783.3772,3330107.134,110.9326456,31.26210073
"Phoebe neuranthoides",553508.9958,3180211.605,110.804565,29.931629
"Phoebe neuranthoides",551453.7838,3198366.484,110.7941599,30.09423312
"Phoebe neuranthoides",555152.8571,2816669.096,110.606704,26.683608
"Phoebe neuranthoides",517254.2237,3338765.901,110.517475,31.35922191
"Phoebe neuranthoides",528125.2274,3087962.825,110.4855325,29.12281556
"Phoebe neuranthoides",526102.5004,3112997.622,110.478901,29.346961
"Phoebe neuranthoides",511733.4817,3347189.227,110.4636451,31.43670788
"Phoebe neuranthoides",506647.5217,3349427.991,110.410753,31.459055
"Phoebe neuranthoides",500669.2528,3346320.49,110.345247,31.434348
"Phoebe neuranthoides",525229.4674,2758519.748,110.2739167,26.17639443
"Phoebe neuranthoides",493004.026,3357071.992,110.269653,31.533425
"Phoebe neuranthoides",502963.4411,3051023.169,110.204579,28.805426
"Phoebe neuranthoides",492851.272,3034547.721,110.0913903,28.66306565
"Phoebe neuranthoides",456136.5002,3257116.691,109.824357,30.66213
"Phoebe neuranthoides",457519.4529,2988514.957,109.7044488,28.26749313
"Phoebe neuranthoides",434964.9248,3361867.979,109.6526494,31.60176604
"Phoebe neuranthoides",433533.0843,2741905.695,109.3471807,26.06704758
"Phoebe neuranthoides",433709.982,2655378.944,109.3112989,25.28820819
"Phoebe neuranthoides",392385.3147,3124226.249,109.093014,29.504546
"Phoebe neuranthoides",383396.7966,3102158.726,108.9901098,29.31104626
"Phoebe neuranthoides",371024.8523,3332768.463,108.9570966,31.36797299
"Phoebe neuranthoides",367320.5014,3369160.893,108.9329979,31.69250281
"Phoebe neuranthoides",395724.445,2597796.086,108.9115745,24.783085
"Phoebe neuranthoides",387589.9229,2644421.992,108.8491084,25.20654736
"Phoebe neuranthoides",380674.3817,2641334.978,108.7793315,25.18111344
"Phoebe neuranthoides",377393.574,2646797.058,108.7488374,25.23147665
"Phoebe neuranthoides",375470.0618,2635706.321,108.7256159,25.13213695
"Phoebe neuranthoides",373365.6302,2677494.494,108.7202846,25.50944915
"Phoebe neuranthoides",361389.1921,2945546.652,108.700569,27.919654
"Phoebe neuranthoides",371471.9797,2650897.437,108.6915837,25.27043872
"Phoebe neuranthoides",368233.6792,2642684.313,108.656427,25.19748094
"Phoebe neuranthoides",365799.5223,2656915.495,108.6374534,25.326567
"Phoebe neuranthoides",349987.3777,3032697.138,108.6164129,28.70252324
"Phoebe neuranthoides",341486.548,3193321.275,108.5886172,30.13770786
"Phoebe neuranthoides",361510.2499,2637002.02,108.5876864,25.1484591
"Phoebe neuranthoides",347272.0688,2995829.542,108.5746696,28.37398144
"Phoebe neuranthoides",310293.3075,3581364.223,108.4007,33.59309568
"Phoebe neuranthoides",315731.9875,3398582.706,108.3918478,31.97062436
"Phoebe neuranthoides",338378.77,2691848.399,108.3768141,25.64998313
"Phoebe neuranthoides",319073.913,3025293.974,108.294693,28.646007
"Phoebe neuranthoides",301404.2923,3536587.19,108.2871102,33.19898565
"Phoebe neuranthoides",326255.4233,2779862.705,108.284971,26.445256
"Phoebe neuranthoides",325574.7845,2735104.359,108.2633152,26.04311439
"Phoebe neuranthoides",316949.4885,2899326.416,108.2304639,27.51972206
"Phoebe neuranthoides",315620.6018,2785537.861,108.179796,26.499351
"Phoebe neuranthoides",314625.0986,2770177.749,108.164842,26.361629
"Phoebe neuranthoides",307546.708,2853212.528,108.1199264,27.109078
"Phoebe neuranthoides",309817.0921,2774026.73,108.1177253,26.39758418
"Phoebe neuranthoides",300947.0411,2900672.377,108.0678915,27.53632888
"Phoebe neuranthoides",299803.0674,2872871.779,108.0475404,27.28750871
"Phoebe neuranthoides",295834.1953,2835676.913,107.9958155,26.95501288
"Phoebe neuranthoides",293413.9052,2721073.658,107.9369984,25.92592605
"Phoebe neuranthoides",261292.1197,2838145.076,107.6468621,26.98596853
"Phoebe neuranthoides",237267.0407,2767982.547,107.3865083,26.36134254
"Phoebe neuranthoides",228814.3721,3057634.018,107.3710877,28.9578844
"Phoebe neuranthoides",235496.4642,2693604.947,107.3509938,25.69253515
"Phoebe neuranthoides",221730.8863,3064614.164,107.2993867,29.02170146
"Phoebe neuranthoides",217201.6425,3062195.713,107.2518652,29.00103385
"Phoebe neuranthoides",215853.1551,3075339.894,107.2409648,29.11866115
"Phoebe neuranthoides",211191.6413,3071141.409,107.1916233,29.08210818
"Phoebe neuranthoides",205750.8619,3068027.175,107.134485,29.055362
"Phoebe neuranthoides",203463.0711,2637461.893,107.0198941,25.19287427
"Phoebe neuranthoides",194899.6696,2721345.335,106.9512675,25.95020127
"Phoebe neuranthoides",192513.7222,2685851.088,106.920513,25.63102436
"Phoebe neuranthoides",189505.3491,2652365.599,106.8841699,25.32975639
"Phoebe neuranthoides",183974.1755,2587093.924,106.8173105,24.7416243
"Phoebe neuranthoides",182178.4833,2592233.815,106.8004971,24.7883456
"Phoebe neuranthoides",160387.4655,2794794.974,106.6177922,26.61621837
"Phoebe neuranthoides",161813.9704,2682971.778,106.6138451,25.61000824
"Phoebe neuranthoides",160250.6817,2543696.862,106.5762053,24.35302945
"Phoebe neuranthoides",110918.937,2634124.438,106.100895,25.17588901
"Phoebe neuranthoides",95626.24689,2999254.851,105.9850788,28.45629407
"Phoebe neuranthoides",62229.98399,2618782.425,105.6167178,25.04124357
"Phoebe neuranthoides",48502.44128,2652097.462,105.48228,25.342493
"Phoebe neuranthoides",37369.6686,2668424.386,105.372192,25.490125
"Phoebe neuranthoides",-75091.98147,3443285.885,104.1890812,32.41274501
