"species","x","y","longitude","latitude"
"Phoebe puwenensis",-131148.5784,2404375.496,103.7275661,23.09403886
"Phoebe puwenensis",-188334.0696,2358784.366,103.1809487,22.67153195
"Phoebe puwenensis",-206541.4995,2358506.599,103.0051888,22.66582391
"Phoebe puwenensis",-209004.6066,2339911.365,102.9850507,22.49617805
"Phoebe puwenensis",-272009.4292,2384190.567,102.3665709,22.88546236
"Phoebe puwenensis",-286419.6733,2377733.929,102.2288747,22.8232164
"Phoebe puwenensis",-291686.2667,2399959.318,102.1718235,23.02380471
"Phoebe puwenensis",-307022.0581,2464244.261,102.0044146,23.60300091
"Phoebe puwenensis",-323911.4688,2475462.225,101.836248,23.69991326
"Phoebe puwenensis",-356970.4416,2246235.689,101.590457,21.605465
"Phoebe puwenensis",-405541.0825,2290504.917,101.11043,21.99293402
"Phoebe puwenensis",-403642.3319,2417874.883,101.080418,23.15190729
"Phoebe puwenensis",-407947.726,2343393.533,101.0672886,22.47362159
"Phoebe puwenensis",-412902.3594,2358583.866,101.0136991,22.60997414
"Phoebe puwenensis",-406062.5195,2568279.114,100.9981017,24.5128212
"Phoebe puwenensis",-425107.1442,2300902.018,100.9188801,22.08050508
"Phoebe puwenensis",-429176.3797,2295887.702,100.8818548,22.03329201
"Phoebe puwenensis",-433710.9063,2313155.368,100.8314418,22.18884489
"Phoebe puwenensis",-432392.5202,2566803.966,100.739542,24.489592
"Phoebe puwenensis",-447656.5688,2309968.623,100.698896,22.154407
"Phoebe puwenensis",-457767.5047,2287059.458,100.6115981,21.94168174
"Phoebe puwenensis",-457506.4586,2318775.743,100.600633,22.23066089
"Phoebe puwenensis",-461438.923,2305711.59,100.5684723,22.11011634
"Phoebe puwenensis",-465619.296,2283227.564,100.538077,21.90356843
"Phoebe puwenensis",-467024.5085,2301326.088,100.516803,22.067889
"Phoebe puwenensis",-470168.6567,2240170.749,100.513175,21.50899215
"Phoebe puwenensis",-469274.6341,2293478.059,100.4986459,21.9954694
"Phoebe puwenensis",-479349.5877,2298573.293,100.3998792,22.03767581
"Phoebe puwenensis",-498841.407,2587752.804,100.0755766,24.6509823
"Phoebe puwenensis",-507625.9033,2696441.146,99.93430732,25.62650835
"Phoebe puwenensis",-590565.5858,2463972.235,99.242774,23.487196
"Phoebe puwenensis",-595088.6061,2482561.959,99.18818401,23.65311621
"Phoebe puwenensis",-606455.5048,2473361.3,99.0827811,23.56374424
"Phoebe puwenensis",-612859.0809,2436923.522,99.04176156,23.23020338
"Phoebe puwenensis",-636189.544,2543202.692,98.75056847,24.17883232
"Phoebe puwenensis",-744340.8031,2596446.362,97.6531158,24.59236173
"Phoebe puwenensis",-750501.0181,2591437.556,97.59621687,24.54307616
