"species","x","y","longitude","latitude"
"Phoebe sheareri",1305207.481,3504568.469,119.0943911,32.13561264
"Phoebe sheareri",341130.4536,3402368.11,108.6659609,31.99620924
"Phoebe sheareri",1019470.525,3422721.873,115.9404412,31.73346173
"Phoebe sheareri",1195372.967,3418190.194,117.8025452,31.50697866
"Phoebe sheareri",1070179.821,3400270.7,116.4522454,31.48447722
"Phoebe sheareri",1045754.409,3390446.048,116.181305,31.422403
"Phoebe sheareri",1060798.561,3389461.684,116.3395759,31.39857081
"Phoebe sheareri",1042425.399,3384565.187,116.1389843,31.37376924
"Phoebe sheareri",1048436.877,3379286.396,116.1963444,31.32113133
"Phoebe sheareri",1385856.745,3420883.562,119.8187888,31.29586479
"Phoebe sheareri",1367325.859,3410071.689,119.606623,31.22510473
"Phoebe sheareri",1376475.202,3411153.004,119.704642,31.22264888
"Phoebe sheareri",1359341.247,3404272.055,119.513548,31.184457
"Phoebe sheareri",1061072.519,3364176.637,116.3118164,31.17491718
"Phoebe sheareri",1367865.637,3402215.769,119.6000538,31.15528852
"Phoebe sheareri",1009228.7,3350067.009,115.747327,31.101317
"Phoebe sheareri",1086915.032,3357851.404,116.577026,31.09259384
"Phoebe sheareri",-67016.98266,3281963.025,104.2887602,30.97975404
"Phoebe sheareri",1403947.197,3373464.354,119.933634,30.8547599
"Phoebe sheareri",1345162.546,3358378.482,119.2942071,30.79868625
"Phoebe sheareri",1338076.102,3352965.619,119.211754,30.760031
"Phoebe sheareri",1042241.82,3313314.449,116.0526312,30.74408834
"Phoebe sheareri",1081146.372,3317499.834,116.466712,30.74191382
"Phoebe sheareri",1031146.448,3310341.344,115.9324648,30.7287
"Phoebe sheareri",1358001.205,3347593.858,119.412214,30.68723613
"Phoebe sheareri",1384373.763,3346625.19,119.6865634,30.64442479
"Phoebe sheareri",1402097.918,3345771.129,119.870466,30.61350488
"Phoebe sheareri",1368898.469,3340330.775,119.5150394,30.60918222
"Phoebe sheareri",1216925.012,3310751.665,117.8823184,30.5344342
"Phoebe sheareri",1226872.528,3311676.324,117.9877032,30.53109033
"Phoebe sheareri",1212775.383,3304600.685,117.830511,30.484894
"Phoebe sheareri",1359312.056,3322905.056,119.3882244,30.46804825
"Phoebe sheareri",1380868.977,3324317.025,119.6153304,30.45254737
"Phoebe sheareri",1438155.422,3331690.337,120.2242632,30.44109175
"Phoebe sheareri",1364877.847,3318081.079,119.438938,30.41836999
"Phoebe sheareri",1322103.877,3309317.298,118.9795244,30.39545325
"Phoebe sheareri",1366687.511,3310059.842,119.4455534,30.34534752
"Phoebe sheareri",1374312.606,3310745.442,119.5260594,30.34151479
