"species","x","y","longitude","latitude"
"Phoebe tavoyana",487495.9662,1978004.052,109.5376806,19.0974771
"Phoebe tavoyana",507627.4014,1935481.823,109.7060432,18.69660724
"Phoebe tavoyana",496742.0107,2283168.451,109.7596952,21.88984743
"Phoebe tavoyana",513738.7587,2261144.029,109.911861,21.681512
"Phoebe tavoyana",448903.804,1973302.888,109.1770615,19.06976631
"Phoebe tavoyana",430808.7617,2003363.587,109.0201944,19.35362051
"Phoebe tavoyana",442610.5259,1980838.032,109.1214791,19.1416477
"Phoebe tavoyana",433359.2775,1984089.185,109.0366599,19.17511443
"Phoebe tavoyana",517740.5859,2024489.735,109.8398477,19.51233548
"Phoebe tavoyana",504576.2336,1903014.346,109.66367,18.398018
"Phoebe tavoyana",439116.1672,2020229.923,109.1041323,19.50574907
"Phoebe tavoyana",446044.458,2051576.21,109.1811419,19.79136679
"Phoebe tavoyana",486441.9613,2031741.529,109.5507953,19.59266235
"Phoebe tavoyana",-498841.407,2587752.804,100.0755766,24.6509823
"Phoebe tavoyana",436331.3938,1978064.99,109.0620192,19.11847562
"Phoebe tavoyana",499816.024,1923712.101,109.628649,18.591322
"Phoebe tavoyana",478077.9421,1987589.119,109.454135,19.189733
"Phoebe tavoyana",421575.0334,1935413.696,108.909164,18.730471
"Phoebe tavoyana",-449050.1668,2263515.737,100.7048201,21.73051796
"Phoebe tavoyana",-433710.9063,2313155.368,100.8314418,22.18884489
"Phoebe tavoyana",410169.1536,1930518.468,108.8017675,18.68935905
"Phoebe tavoyana",553891.8458,2256005.771,110.2924477,21.6158165
"Phoebe tavoyana",536171.7879,2275982.03,110.1332985,21.8064334
"Phoebe tavoyana",535401.0699,2282638.421,110.1292223,21.86745796
"Phoebe tavoyana",524291.1675,1934247.203,109.8597248,18.67779321
"Phoebe tavoyana",531111.6779,1933317.054,109.922415,18.66610198
"Phoebe tavoyana",520116.3238,1941771.743,109.8244753,18.74912697
"Phoebe tavoyana",524034.4064,1912758.875,109.847631,18.47945293
"Phoebe tavoyana",-636189.544,2543202.692,98.75056847,24.17883232
"Phoebe tavoyana",238125.7409,2288858.02,107.2842813,22.025387
"Phoebe tavoyana",-753872.7209,2525328.826,97.61152229,23.94424471
"Phoebe tavoyana",489571.5892,1887257.344,109.5185567,18.25873629
"Phoebe tavoyana",507194.1835,2196490.434,109.8194043,21.09415797
"Phoebe tavoyana",-655528.5547,2658261.512,98.4870872,25.20514454
"Phoebe tavoyana",480901.444,1912000.368,109.448869,18.49111803
"Phoebe tavoyana",458091.6185,1910994.509,109.2377186,18.49105014
"Phoebe tavoyana",560654.957,1942539.008,110.2002119,18.73730439
"Phoebe tavoyana",563552.2111,1935997.647,110.2238457,18.67553103
"Phoebe tavoyana",502099.0078,1942451.791,109.6578962,18.76334991
"Phoebe tavoyana",504593.3514,1958864.2,109.688186,18.91368598
"Phoebe tavoyana",573465.5151,2135526.981,110.416365,20.50507609
"Phoebe tavoyana",-525150.8927,2357755.896,99.932102,22.555882
"Phoebe tavoyana",89154.17525,2254096.18,105.8525,21.729722
"Phoebe tavoyana",543429.2798,1917758.98,110.029085,18.516726
"Phoebe tavoyana",507372.8223,1927855.856,109.700342,18.626309
"Phoebe tavoyana",-358323.586,2115616.841,101.62,20.41
"Phoebe tavoyana",-335944.7532,2184750.269,101.81,21.05
"Phoebe tavoyana",488042.9377,1886461.004,109.504134,18.252013
"Phoebe tavoyana",-474268.5302,2289522.556,100.452547,21.957355
